onset	duration	Stim
16.043	1.018	Face
18.045	1.018	Face
20.046	1.018	Face
22.048	1.018	Face
24.049	1.018	Face
26.051	1.018	Face
28.053	1.017	Face
30.053	1.002	Face
156.573	1.018	Face
158.575	1.017	Face
160.576	1.018	Face
162.578	1.018	Face
164.579	1.018	Face
166.581	1.018	Face
168.583	1.018	Face
170.584	1.018	Face
297.153	1.018	Face
299.155	1.017	Face
301.156	1.017	Face
303.158	1.018	Face
305.159	1.018	Face
307.161	1.018	Face
309.163	1.018	Face
311.164	1.018	Face
437.666	1.018	Face
439.668	1.018	Face
441.669	1.018	Face
443.671	1.017	Face
445.673	1.018	Face
447.674	1.018	Face
449.676	1.018	Face
451.677	1.018	Face
44.149	1.018	Object
46.149	1.002	Object
48.152	1.018	Object
50.154	1.018	Object
52.155	1.018	Object
54.157	1.018	Object
56.159	1.018	Object
58.16	1.017	Object
212.802	1.018	Object
214.803	1.018	Object
216.805	1.018	Object
218.806	1.018	Object
220.808	1.017	Object
222.81	1.018	Object
224.811	1.018	Object
226.813	1.018	Object
240.924	1.018	Object
242.926	1.018	Object
244.927	1.018	Object
246.929	1.018	Object
248.931	1.018	Object
250.932	1.018	Object
252.934	1.017	Object
254.936	1.018	Object
409.543	1.018	Object
411.545	1.017	Object
413.547	1.018	Object
415.548	1.018	Object
417.55	1.018	Object
419.552	1.018	Object
421.553	1.018	Object
423.555	1.018	Object
72.255	1.017	House
74.257	1.018	House
76.258	1.018	House
78.26	1.018	House
80.261	1.018	House
82.263	1.018	House
84.265	1.018	House
86.266	1.017	House
128.484	1.018	House
130.485	1.018	House
132.487	1.017	House
134.488	1.017	House
136.49	1.018	House
138.492	1.018	House
140.493	1.018	House
142.495	1.018	House
325.259	1.018	House
327.26	1.018	House
329.262	1.017	House
331.264	1.018	House
333.265	1.018	House
335.267	1.018	House
337.269	1.018	House
339.27	1.018	House
381.471	1.018	House
383.472	1.018	House
385.474	1.018	House
387.476	1.017	House
389.477	1.018	House
391.479	1.018	House
393.481	1.018	House
395.482	1.018	House
100.361	1.017	Scrambled
102.363	1.018	Scrambled
104.364	1.018	Scrambled
106.366	1.018	Scrambled
108.367	1.018	Scrambled
110.369	1.018	Scrambled
112.371	1.018	Scrambled
114.372	1.018	Scrambled
184.679	1.018	Scrambled
186.68	1.018	Scrambled
188.682	1.017	Scrambled
190.684	1.018	Scrambled
192.685	1.018	Scrambled
194.687	1.018	Scrambled
196.689	1.018	Scrambled
198.69	1.018	Scrambled
269.03	1.017	Scrambled
271.032	1.018	Scrambled
273.033	1.018	Scrambled
275.035	1.018	Scrambled
277.037	1.018	Scrambled
279.038	1.018	Scrambled
281.04	1.018	Scrambled
283.042	1.017	Scrambled
353.348	1.018	Scrambled
355.35	1.017	Scrambled
357.351	1.018	Scrambled
359.353	1.018	Scrambled
361.355	1.018	Scrambled
363.356	1.018	Scrambled
365.358	1.018	Scrambled
367.359	1.018	Scrambled
