onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5337	2.8189	bA	Correct	2.81	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
4.0697	1.1342	Ab	Correct	1.13	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
8.5897	1.0008	Ce	inCorrect	0.989	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
12.1257	1.5012	bA	Correct	1.488	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
20.6497	1.1676	Ab	Correct	1.154	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
25.1697	1.8015	bC	Correct	1.798	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
28.6897	1.8015	Db	inCorrect	1.788	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
32.2257	1.6013	Ed	Correct	1.583	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
41.2497	1.251	Ef	Correct	1.242	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
44.7687	1.5346	dA	Correct	1.52	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
49.2897	1.0174	Ac	Correct	1.009	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
52.3247	2.1685	Ce	inCorrect	2.153	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
57.3457	2.0017	Fb	Correct	1.999	ll	0.2985	0.2895	0.009	20	6.7351	0.1155	0.1035
60.8657	2.2851	Ed	Correct	2.271	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
64.8857	2.1851	Fb	Correct	2.171	ll	0.2985	0.2895	0.009	20	6.7351	0.1155	0.1035
69.4057	1.8681	fE	Correct	1.86	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
72.9247	2.3185	Cf	Correct	2.307	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
77.4457	2.2518	Db	inCorrect	2.246	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
80.9647	1.4845	fA	Correct	1.47	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
88.9877	2.1518	Fd	Correct	2.146	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
92.5237	2.0183	Ab	Correct	2.011	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
97.0447	1.668	Cd	Correct	1.662	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
100.5807	2.3185	dF	Correct	2.301	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
105.1007	1.5679	bE	Correct	1.551	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
109.6217	1.151	bE	Correct	1.143	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
113.6407	1.3178	cA	Correct	1.301	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
117.6607	1.7348	Fb	Correct	1.725	ll	0.2985	0.2895	0.009	20	6.7351	0.1155	0.1035
121.1807	2.0017	bD	inCorrect	1.989	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
125.7007	1.5679	Ad	Correct	1.556	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
128.7367	1.2844	Ed	Correct	1.278	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
133.2567	1.9849	Db	inCorrect	1.983	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
