onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0341	1.4679	bD	inCorrect	1.463	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
4.0691	1.1342	cA	Correct	1.124	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
8.1061	1.0508	eC	inCorrect	1.045	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
13.1271	1.2677	dC	Correct	1.25	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
17.1471	0.9341	Ac	Correct	0.925	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
20.1821	1.1676	Ce	inCorrect	1.154	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
24.7031	1.3177	Db	inCorrect	1.305	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
29.2231	1.3678	fE	Correct	1.352	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
33.2431	1.1509	Ad	Correct	1.135	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
36.2791	0.7673	Ad	Correct	0.75	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
40.3151	1.2677	dE	Correct	1.256	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
44.8361	1.4678	Db	inCorrect	1.46	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
48.3721	0.7005	Db	inCorrect	0.685	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
52.4081	1.0842	Ce	inCorrect	1.08	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
57.4291	1.301	Cb	Correct	1.295	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
61.4491	1.3177	dC	Correct	1.299	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
69.4891	1.2343	fE	Correct	1.232	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
73.5091	2.1017	Db	inCorrect	2.092	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
77.5291	1.568	dF	inCorrect	1.56	ll	0.2104	0.2985	-0.0881	10	6.7351	0.1155	0.1035
81.0481	1.3845	Eb	Correct	1.376	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
85.5681	1.0509	Af	Correct	1.037	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
92.6071	0.9842	eA	inCorrect	0.973	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
96.6441	1.2344	eA	inCorrect	1.229	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
101.1641	0.9008	bA	Correct	0.884	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
104.7001	0.9508	fE	Correct	0.945	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
109.7211	1.4679	dC	Correct	1.456	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
113.2411	1.5013	dF	Correct	1.493	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
117.2611	1.9015	cA	Correct	1.899	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
121.2811	1.9682	fC	Correct	1.959	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
124.8171	2.2519	fE	Correct	2.237	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
129.8371	1.8848	Cb	Correct	1.875	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
133.3571	2.552	Db	inCorrect	2.548	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
137.3771	0.8507	Ce	inCorrect	0.84	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
141.8971	1.4845	fA	Correct	1.481	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
149.4201	1.6013	Fd	Correct	1.587	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
157.9431	1.1842	fC	Correct	1.18	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
161.4631	0.7172	bE	Correct	0.706	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
165.9831	0.834	dF	inCorrect	0.831	ll	0.2104	0.2985	-0.0881	10	6.7351	0.1155	0.1035
169.0191	0.834	Ae	inCorrect	0.825	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
173.0561	0.8507	Ab	Correct	0.84	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
177.5761	1.251	eC	inCorrect	1.249	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
182.0801	1.9682	bE	Correct	1.96	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
185.5991	2.1017	Fb	inCorrect	2.091	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
189.6191	2.135	Cf	Correct	2.127	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
193.6391	2.7022	dC	inCorrect	2.693	wl.l	0.2104	0.7128	-0.5024	40	6.7351	0.1155	0.1035
197.1751	1.6513	fC	Correct	1.647	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
201.2121	1.4678	Ed	Correct	1.465	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
205.2481	1.1008	bE	Correct	1.09	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
210.2691	1.5512	bE	Correct	1.544	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
213.7881	1.7848	dC	inCorrect	1.777	wl.l	0.2104	0.7128	-0.5024	40	6.7351	0.1155	0.1035
217.8081	1.1176	Af	Correct	1.104	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
222.3291	1.0508	Ce	inCorrect	1.041	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
225.8481	1.8682	dC	Correct	1.864	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
230.3681	1.5012	Ae	Correct	1.491	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
