onset	duration	trial	value	instruction
5156	6	1	1	rest
11108	1	1	2	ready
12106	6	1	3	task
18089	8	1	4	interval
26124	6	2	1	rest
32095	1	2	2	ready
33088	6	2	3	task
39085	8	2	4	interval
47124	6	3	1	rest
53093	1	3	2	ready
54107	6	3	3	task
60091	8	3	4	interval
68125	6	4	1	rest
74111	1	4	2	ready
75094	6	4	3	task
81094	8	4	4	interval
89137	6	5	1	rest
95094	1	5	2	ready
96091	6	5	3	task
102093	8	5	4	interval
110146	6	6	1	rest
116104	1	6	2	ready
117124	6	6	3	task
123103	8	6	4	interval
131138	6	7	1	rest
137104	1	7	2	ready
138120	6	7	3	task
144100	8	7	4	interval
152134	6	8	1	rest
158097	1	8	2	ready
159118	6	8	3	task
165121	8	8	4	interval
173139	6	9	1	rest
179100	1	9	2	ready
180105	6	9	3	task
186106	8	9	4	interval
194147	6	10	1	rest
200129	1	10	2	ready
201127	6	10	3	task
207109	8	10	4	interval
215148	6	11	1	rest
221111	1	11	2	ready
222129	6	11	3	task
228123	8	11	4	interval
236157	6	12	1	rest
242121	1	12	2	ready
243134	6	12	3	task
249116	8	12	4	interval
257165	6	13	1	rest
263139	1	13	2	ready
264145	6	13	3	task
270124	8	13	4	interval
278171	6	14	1	rest
284129	1	14	2	ready
285145	6	14	3	task
291126	8	14	4	interval
299169	6	15	1	rest
305131	1	15	2	ready
306141	6	15	3	task
312135	8	15	4	interval
320180	6	16	1	rest
326158	1	16	2	ready
327152	6	16	3	task
333135	8	16	4	interval
341174	6	17	1	rest
347158	1	17	2	ready
348138	6	17	3	task
354136	8	17	4	interval
362187	6	18	1	rest
368146	1	18	2	ready
369156	6	18	3	task
375146	8	18	4	interval
383183	6	19	1	rest
389150	1	19	2	ready
390142	6	19	3	task
396141	8	19	4	interval
404186	6	20	1	rest
410148	1	20	2	ready
411159	6	20	3	task
417157	8	20	4	interval
