onset	duration	stim_file	sti_started	sti_stopped	key_fix
12	3	face-video/stimtrn_451.mp4	214.8758696	217.8935667	n/a
18	3	face-video/stimtrn_451.mp4	220.4345008	223.4426075	1
24	3	face-video/stimtrn_452.mp4	226.4680945	229.4762638	n/a
30	3	face-video/stimtrn_453.mp4	232.5017178	235.5187749	n/a
36	3	face-video/stimtrn_454.mp4	238.4686455	241.4767727	n/a
42	3	face-video/stimtrn_455.mp4	244.468855699999	247.4855361	n/a
48	3	face-video/stimtrn_456.mp4	250.5275358	253.5356221	n/a
54	3	face-video/stimtrn_457.mp4	256.4527877	259.469377	n/a
60	3	face-video/stimtrn_458.mp4	262.4613371	265.4695063	n/a
66	3	face-video/stimtrn_459.mp4	268.453327	271.4699262	n/a
72	3	face-video/stimtrn_460.mp4	274.4786225	277.4891103	n/a
78	3	face-video/stimtrn_461.mp4	280.4705554	283.4871642	n/a
84	3	face-video/stimtrn_462.mp4	286.4791842	289.4956834	n/a
90	3	face-video/stimtrn_463.mp4	292.4627546	295.4732028	n/a
96	3	face-video/stimtrn_464.mp4	298.4962312	301.5044986	n/a
102	3	face-video/stimtrn_465.mp4	304.4632999	307.47988	n/a
108	3	face-video/stimtrn_466.mp4	310.4719061	313.4823128	n/a
114	3	face-video/stimtrn_467.mp4	316.47213	319.4830636	n/a
120	3	face-video/stimtrn_468.mp4	322.497376199999	325.5055615	n/a
126	3	face-video/stimtrn_469.mp4	328.4474726	331.4578735	n/a
132	3	face-video/stimtrn_470.mp4	334.5146968	337.5312706	n/a
138	3	face-video/stimtrn_471.mp4	340.506485	343.5147523	n/a
144	3	face-video/stimtrn_472.mp4	346.4651719	349.4817527	n/a
150	3	face-video/stimtrn_473.mp4	352.4571532	355.4682648	n/a
156	3	face-video/stimtrn_474.mp4	358.4407112	361.4516438	n/a
162	3	face-video/stimtrn_475.mp4	364.5075532	367.5179823	n/a
168	3	face-video/stimtrn_476.mp4	370.457996	373.474501	n/a
174	3	face-video/stimtrn_477.mp4	376.4666119	379.488059	n/a
180	3	face-video/stimtrn_478.mp4	382.4667956	385.491791899999	n/a
186	3	face-video/stimtrn_479.mp4	388.4670969	391.4885555	n/a
192	3	face-video/stimtrn_480.mp4	394.5006501	397.5088302	n/a
198	3	face-video/stimtrn_480.mp4	400.4508005	403.4615084	1
204	3	face-video/stimtrn_1321.mp4	406.4929181	409.5094953	n/a
210	3	face-video/stimtrn_1322.mp4	412.4931965	415.5097586	n/a
216	3	face-video/stimtrn_473.mp4	418.4684389	421.4765533	n/a
222	3	face-video/stimtrn_462.mp4	424.4518997	427.4686251	n/a
228	3	face-video/stimtrn_453.mp4	430.4606245	433.4707225	n/a
234	3	face-video/stimtrn_454.mp4	436.4440972	439.4546415	n/a
240	3	face-video/stimtrn_455.mp4	442.4445776	445.462316099999	n/a
246	3	face-video/stimtrn_459.mp4	448.4364275	451.4530509	n/a
252	3	face-video/stimtrn_457.mp4	454.4534679	457.46996	n/a
258	3	face-video/stimtrn_1321.mp4	460.453672399999	463.4639896	n/a
264	3	face-video/stimtrn_456.mp4	466.4538959	469.4715258	n/a
270	3	face-video/stimtrn_456.mp4	472.4457433	475.4623446	1
276	3	face-video/stimtrn_468.mp4	478.4627733	481.4709617	n/a
282	3	face-video/stimtrn_472.mp4	484.4631717	487.4736407	n/a
288	3	face-video/stimtrn_452.mp4	490.4466998	493.4632894	n/a
294	3	face-video/stimtrn_463.mp4	496.4718941	499.4885487	n/a
300	3	face-video/stimtrn_464.mp4	502.4389506	505.4495501	n/a
306	3	face-video/stimtrn_475.mp4	508.4474439	511.4640493	n/a
312	3	face-video/stimtrn_466.mp4	514.455827499999	517.4668821	n/a
318	3	face-video/stimtrn_476.mp4	520.4397148	523.456309	n/a
324	3	face-video/stimtrn_460.mp4	526.4398778	529.450637599999	n/a
330	3	face-video/stimtrn_469.mp4	532.47364	535.4901871	n/a
336	3	face-video/stimtrn_469.mp4	538.4487894	541.4654508	1
342	3	face-video/stimtrn_480.mp4	544.4407427	547.4511888	n/a
348	3	face-video/stimtrn_471.mp4	550.449304	553.4659929	n/a
354	3	face-video/stimtrn_461.mp4	556.449613499999	559.4662731	n/a
360	3	face-video/stimtrn_451.mp4	562.4750242	565.4915549	n/a
366	3	face-video/stimtrn_474.mp4	568.4419017	571.4500071	n/a
372	3	face-video/stimtrn_465.mp4	574.4502096	577.4670839	n/a
378	3	face-video/stimtrn_467.mp4	580.4508208	583.4588872	n/a
384	3	face-video/stimtrn_477.mp4	586.4507041	589.4676219	n/a
390	3	face-video/stimtrn_1322.mp4	592.4513453	595.4594285	n/a
396	3	face-video/stimtrn_479.mp4	598.4683228	601.4793295	n/a
402	3	face-video/stimtrn_470.mp4	604.4685296	607.4766609	n/a
408	3	face-video/stimtrn_458.mp4	610.4436738	613.4687212	n/a
414	3	face-video/stimtrn_478.mp4	616.435655	619.4438821	n/a
