onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	47.300000	n/a	n/a
1665.23	11.0	n/a	170.000000	n/a
1683.463	12.5	46.300000	n/a	n/a
1700.482	11.0	n/a	132.000000	n/a
1719.712	12.5	46.300000	n/a	n/a
1737.729	11.0	n/a	123.000000	n/a
1754.964	12.5	45.300000	n/a	n/a
1773.978	11.0	n/a	110.000000	n/a
1791.214	12.5	45.300000	n/a	n/a
1809.247	11.0	n/a	115.000000	n/a
1825.469	12.5	44.300000	n/a	n/a
1844.499	11.0	n/a	103.000000	n/a
1862.732	12.5	44.300000	n/a	n/a
1883.757	11.0	n/a	105.000000	n/a
1903.984	12.5	43.300000	n/a	n/a
1920.987	11.0	n/a	108.000000	n/a
1938.222	12.5	47.300000	n/a	n/a
1958.234	11.0	n/a	149.000000	n/a
1976.466	12.5	47.300000	n/a	n/a
1996.477	11.0	n/a	161.000000	n/a
2015.707	12.5	43.300000	n/a	n/a
2033.724	11.0	n/a	3.000000	n/a
