onset	duration	temperature	ratings	regulate-up/down
2064.217	12.5	44.300000	n/a	n/a
2082.25	11.0	n/a	137.000000	n/a
2101.48	12.5	43.300000	n/a	n/a
2122.505	11.0	n/a	10.000000	n/a
2140.737	12.5	47.300000	n/a	n/a
2158.754	11.0	n/a	181.000000	n/a
2177.984	12.5	43.300000	n/a	n/a
2196.998	11.0	n/a	134.000000	n/a
2215.231	12.5	46.300000	n/a	n/a
2233.264	11.0	n/a	124.000000	n/a
2253.491	12.5	45.300000	n/a	n/a
2270.494	11.0	n/a	140.000000	n/a
2287.729	12.5	45.300000	n/a	n/a
2307.741	11.0	n/a	132.000000	n/a
2324.976	12.5	46.300000	n/a	n/a
2344.987	11.0	n/a	150.000000	n/a
2362.223	12.5	47.300000	n/a	n/a
2379.242	11.0	n/a	159.000000	n/a
2397.475	12.5	44.300000	n/a	n/a
2416.505	11.0	n/a	126.000000	n/a
2434.738	12.5	44.300000	n/a	n/a
2453.752	11.0	n/a	123.000000	n/a
