onset	duration	temperature	ratings	regulate-up/down
1228.216	12.5	46.300000	n/a	n/a
1249.225	11.0	n/a	159.000000	n/a
1268.455	12.5	43.300000	n/a	n/a
1286.488	11.0	n/a	120.000000	n/a
1304.721	12.5	44.300000	n/a	n/a
1323.751	11.0	n/a	104.000000	n/a
1340.987	12.5	42.300000	n/a	n/a
1359.02	11.0	n/a	105.000000	n/a
1379.247	12.5	42.300000	n/a	n/a
1399.258	11.0	n/a	109.000000	n/a
1417.491	12.5	44.300000	n/a	n/a
1437.519	11.0	n/a	114.000000	n/a
1454.754	12.5	43.300000	n/a	n/a
1473.768	11.0	n/a	107.000000	n/a
1492.001	12.5	45.300000	n/a	n/a
1511.031	11.0	n/a	122.000000	n/a
1528.267	12.5	45.300000	n/a	n/a
1545.286	11.0	n/a	114.000000	n/a
1561.508	12.5	46.300000	n/a	n/a
1578.527	11.0	n/a	130.000000	n/a
1596.76	12.5	46.300000	n/a	n/a
1614.793	11.0	n/a	123.000000	n/a
