onset	duration	temperature	ratings	regulate-up/down
2864.216	12.5	43.300000	n/a	n/a
2884.244	11.0	n/a	120.000000	n/a
2903.474	12.5	42.300000	n/a	n/a
2922.504	11.0	n/a	110.000000	n/a
2939.74	12.5	46.300000	n/a	n/a
2957.773	11.0	n/a	135.000000	n/a
2976.006	12.5	42.300000	n/a	n/a
2993.025	11.0	n/a	7.000000	n/a
3011.258	12.5	45.300000	n/a	n/a
3031.285	11.0	n/a	115.000000	n/a
3050.515	12.5	44.300000	n/a	n/a
3071.524	11.0	n/a	10.000000	n/a
3089.756	12.5	44.300000	n/a	n/a
3106.759	11.0	n/a	119.000000	n/a
3122.981	12.5	45.300000	n/a	n/a
3141.014	11.0	n/a	111.000000	n/a
3158.25	12.5	46.300000	n/a	n/a
3176.283	11.0	n/a	130.000000	n/a
3194.516	12.5	43.300000	n/a	n/a
3213.546	11.0	n/a	110.000000	n/a
3230.782	12.5	43.300000	n/a	n/a
3249.812	11.0	n/a	4.000000	n/a
