onset	duration	temperature	ratings	regulate-up/down
3282.216	12.5	42.300000	n/a	n/a
3302.244	11.0	n/a	6.000000	n/a
3319.479	12.5	46.300000	n/a	n/a
3340.488	11.0	n/a	108.000000	n/a
3358.72	12.5	45.300000	n/a	n/a
3378.731	11.0	n/a	4.000000	n/a
3395.967	12.5	45.300000	n/a	n/a
3412.986	11.0	n/a	107.000000	n/a
3432.216	12.5	43.300000	n/a	n/a
3449.219	11.0	n/a	2.000000	n/a
3469.446	12.5	43.300000	n/a	n/a
3488.46	11.0	n/a	1.000000	n/a
3506.693	12.5	44.300000	n/a	n/a
3524.726	11.0	n/a	0.000000	n/a
3542.959	12.5	46.300000	n/a	n/a
3561.989	11.0	n/a	104.000000	n/a
3578.211	12.5	44.300000	n/a	n/a
3596.228	11.0	n/a	2.000000	n/a
3615.458	12.5	42.300000	n/a	n/a
3634.488	11.0	n/a	0.000000	n/a
3651.724	12.5	42.300000	n/a	n/a
3669.757	11.0	n/a	1.000000	n/a
